"am_data","am_precipitacao","am_temp_maxima","am_umidade","am_ocorreu_queimada","am_risco_fogo_inpe"
1999-01-01,0,32.4,85.5,false,NULL
1999-01-02,0,33.1,90,false,NULL
1999-01-03,32.3,33.4,82.5,false,NULL
1999-01-04,5.3,31.6,87.25,false,NULL
1999-01-05,4.3,33,73.25,false,NULL
1999-01-06,1,30.1,76.5,false,NULL
1999-01-07,2,27.1,87,false,NULL
1999-01-08,0,32.9,75.75,false,NULL
1999-01-09,0,29.7,81,false,NULL
1999-01-10,0,30.1,86.75,false,NULL
1999-01-11,10.7,32.5,81,false,NULL
1999-01-12,0,37.3,84.75,false,NULL
1999-01-13,4.2,32.3,94.5,false,NULL
1999-01-14,57,32.4,87.25,false,NULL
1999-01-15,11.3,33.7,88.5,false,NULL
1999-01-16,16.4,30.9,84.25,false,NULL
1999-01-17,6.2,32.7,84.75,false,NULL
1999-01-18,0,34,78.25,false,NULL
1999-01-19,0,32.5,80,false,NULL
1999-01-20,4.7,32.5,81.75,false,NULL
1999-01-21,0,32.9,73.5,false,NULL
1999-01-22,0,32.5,73.5,false,NULL
1999-01-23,13.1,33.1,75.5,false,NULL
1999-01-24,22.7,33.7,76.25,false,NULL
1999-01-25,0,33.5,72,false,NULL
1999-01-26,0,32.7,80.75,false,NULL
1999-01-27,0.8,30.8,77.25,false,NULL
1999-01-28,1.8,32.6,72,false,NULL
1999-01-29,0,32.5,72,false,NULL
1999-01-30,0,32.3,74.25,false,NULL
1999-01-31,15.1,33.5,84.5,false,NULL
1999-02-01,0,28.5,87.5,false,NULL
1999-02-02,1.7,30.9,75.75,false,NULL
1999-02-03,8.2,31.9,78,false,NULL
1999-02-04,0,30.7,84.75,false,NULL
1999-02-05,5.3,32.3,81.5,false,NULL
1999-02-06,0,31.5,78.5,false,NULL
1999-02-07,3,32.5,77.75,false,NULL
1999-02-08,0,33.9,74.25,false,NULL
1999-02-09,0,33.1,75,false,NULL
1999-02-10,0,34.6,77.75,false,NULL
1999-02-11,0,34.2,72,false,NULL
1999-02-12,4.6,31.9,77.5,false,NULL
1999-02-13,0,32.2,76.5,false,NULL
1999-02-14,1,32.5,75.5,false,NULL
1999-02-15,0,31.6,88.25,false,NULL
1999-02-16,0,33.7,75.5,false,NULL
1999-02-17,0,30.7,81.5,false,NULL
1999-02-18,27.2,33.9,76.5,false,NULL
1999-02-19,1.2,32.3,80.25,false,NULL
1999-02-20,1.1,32.3,74.25,false,NULL
1999-02-21,9.7,33.3,75.25,false,NULL
1999-02-22,0,30,83,false,NULL
1999-02-23,20.6,30.3,90.75,false,NULL
1999-02-24,0,31.2,85.5,false,NULL
1999-02-25,32.7,31.9,85,false,NULL
1999-02-26,9,32.3,82.75,false,NULL
1999-02-27,2.5,32.3,83,false,NULL
1999-02-28,0.6,32.5,86.25,false,NULL
1999-03-01,0.5,25.9,94.75,false,NULL
1999-03-02,67.3,32.7,81.75,false,NULL
1999-03-03,16.6,31.1,91.5,false,NULL
1999-03-04,0,30.1,89,false,NULL
1999-03-05,6.6,27.9,88.25,false,NULL
1999-03-06,4.7,30.5,92.75,false,NULL
1999-03-07,0.3,33.1,72.5,false,NULL
1999-03-08,8.4,32.7,74.5,false,NULL
1999-03-09,9.7,32.8,71.5,false,NULL
1999-03-10,22.1,32.6,77.25,false,NULL
1999-03-11,0,32.7,72.25,false,NULL
1999-03-12,0,32.7,87.25,false,NULL
1999-03-13,29.8,32.7,81.75,false,NULL
1999-03-14,6,31.3,85,false,NULL
1999-03-15,0,32.7,88,false,NULL
1999-03-16,1.3,31.3,89,false,NULL
1999-03-17,24.4,30.3,87.25,false,NULL
1999-03-18,0.3,26.1,95.25,false,NULL
1999-03-19,46.8,31.5,77.5,false,NULL
1999-03-20,2.4,32.7,76.25,false,NULL
1999-03-21,0,32.2,82.25,false,NULL
1999-03-22,0.9,30.7,83,false,NULL
1999-03-23,7,32.1,76,false,NULL
1999-03-24,0,31.3,90.75,false,NULL
1999-03-25,15.7,32.5,81.75,false,NULL
1999-03-26,29.7,33.7,82.25,false,NULL
1999-03-27,3.5,33.1,80,false,NULL
1999-03-28,30.3,33.3,79.75,false,NULL
1999-03-29,0,31.7,84.75,false,NULL
1999-03-30,0,32.5,87.25,false,NULL
1999-03-31,2.7,31.7,95.25,false,NULL
1999-04-01,30.2,33.9,74.5,false,NULL
1999-04-02,5,33.2,78,false,NULL
1999-04-03,0,33.3,79.25,false,NULL
1999-04-04,0,33.5,85.25,false,NULL
1999-04-05,3.7,34.1,77.25,false,NULL
1999-04-06,0,31.9,80.5,false,NULL
1999-04-07,7.1,34.1,81.5,false,NULL
1999-04-08,1,33.1,82.5,false,NULL
1999-04-09,0.8,32.2,83.25,false,NULL
1999-04-10,0,32.1,87,false,NULL
1999-04-11,6.9,32.5,80,false,NULL
1999-04-12,2,33.3,79.75,false,NULL
1999-04-13,6.5,33.4,65,false,NULL
1999-04-14,0,33.3,86.25,false,NULL
1999-04-15,0,33.4,80.25,false,NULL
1999-04-16,0.9,33.5,81.75,false,NULL
1999-04-17,3.8,34.3,75.25,false,NULL
1999-04-18,0,31.3,91.5,false,NULL
1999-04-19,0,32.9,77.75,false,NULL
1999-04-20,26.2,32.7,76.25,false,NULL
1999-04-21,0.2,32.7,80,false,NULL
1999-04-22,0,32.5,80,false,NULL
1999-04-23,0,32.5,80.25,false,NULL
1999-04-24,0,30.9,80,false,NULL
1999-04-25,0,31.5,87.5,false,NULL
1999-04-26,12,31.5,83.75,false,NULL
1999-04-27,4.5,29.8,84.75,false,NULL
1999-04-28,8.7,31.3,77.75,false,NULL
1999-04-29,13,32.1,77.5,false,NULL
1999-04-30,0,31.9,88.5,false,NULL
1999-05-01,3.5,32.3,77,false,NULL
1999-05-02,2.7,32.1,84,false,NULL
1999-05-03,0,33.3,78.75,false,NULL
1999-05-04,0,32.9,81.75,false,NULL
1999-05-05,0,31.7,90.75,false,NULL
1999-05-06,2,32.7,87,false,NULL
1999-05-07,14.9,31.9,85.75,false,NULL
1999-05-08,57,32.8,86,false,NULL
1999-05-09,0,31.6,84.75,false,NULL
1999-05-10,8,31.7,87.25,false,NULL
1999-05-11,20.1,30.7,89.25,false,NULL
1999-05-12,0,32.4,84.75,false,NULL
1999-05-13,2,31.6,87.75,false,NULL
1999-05-14,2.5,31.8,82.25,false,NULL
1999-05-15,10.5,27.8,91.5,false,NULL
1999-05-16,57.7,32.5,76.5,false,NULL
1999-05-17,0.5,32.6,75.75,false,NULL
1999-05-18,0,33.7,78,false,NULL
1999-05-19,0,34.3,70.5,false,NULL
1999-05-20,0,32.3,80.5,false,NULL
1999-05-21,0,32.9,80.25,false,NULL
1999-05-22,0,33.5,81,false,NULL
1999-05-23,0,30.5,85.25,false,NULL
1999-05-24,13,33.3,71.75,false,NULL
1999-05-25,6.3,33.9,68,false,NULL
1999-05-26,0,34.3,73.5,false,NULL
1999-05-27,0,33.7,74,false,NULL
1999-05-28,0,33.7,70,false,NULL
1999-05-29,0,35,67.25,false,NULL
1999-05-30,0,34.9,74.5,false,NULL
1999-05-31,0,34.7,71,false,NULL
1999-06-01,0,33.6,71.75,false,NULL
1999-06-02,0,34.1,70,false,NULL
1999-06-03,0,34.9,69.25,false,NULL
1999-06-04,0,33.7,68.25,false,NULL
1999-06-05,0,35.3,68,false,NULL
1999-06-06,0,34.9,68.5,false,NULL
1999-06-07,0,34.1,69.25,false,NULL
1999-06-19,0,33.9,70.25,false,NULL
1999-06-20,0,34.1,66.75,false,NULL
1999-06-21,0,34.9,70,false,NULL
1999-06-22,0,34.7,70.25,false,NULL
1999-06-23,0,33.3,73.5,false,NULL
1999-06-24,0,33.1,72.5,false,NULL
1999-06-25,0,31.9,81.75,false,NULL
1999-06-26,0,33.6,67.25,false,NULL
1999-06-27,0,34.5,66.75,false,NULL
1999-06-28,0,34.9,66.75,false,NULL
1999-06-29,0,35.1,65,false,NULL
1999-06-30,0,33.7,66.75,false,NULL
1999-07-01,0,34.3,68,false,NULL
1999-07-02,0,35.1,62.75,false,NULL
1999-07-03,0,34.9,64.75,false,NULL
1999-07-04,0,35.3,58.25,false,NULL
1999-07-05,0,35.7,61,false,NULL
1999-07-06,0,34.7,63.5,false,NULL
1999-07-07,0,34.4,65.25,false,NULL
