"am_data","am_precipitacao","am_temp_maxima","am_umidade","am_ocorreu_queimada","am_risco_fogo_inpe"
2012-09-07,0,38.2,56.75,true,NULL
2012-09-08,0,38.8,58.25,true,NULL
2012-09-09,0,38.8,54.25,true,NULL
2012-09-10,0,37.7,59,true,NULL
2012-09-11,0,38.7,51.75,true,NULL
2012-09-12,0,39.4,49,true,NULL
2012-09-13,0,37.5,57,true,NULL
2012-09-14,0,37.2,57,true,NULL
2012-09-15,0,38.3,57.25,false,NULL
2012-09-16,0,38.8,52,true,NULL
2012-09-17,0,37,64,true,NULL
2012-09-18,0,37.7,59.25,true,NULL
2012-09-19,10.8,37.1,56.25,false,NULL
2012-09-20,0,38.1,64.25,true,NULL
2012-09-21,0,37.1,59.5,true,NULL
2012-09-22,0,36.2,63.75,true,NULL
2012-09-23,0,36.7,69.5,true,NULL
2012-09-24,3.4,36.8,57.75,true,NULL
2012-09-25,0,38.4,61.5,true,NULL
2012-09-26,0,38.6,70.5,true,NULL
2012-09-27,0,34.1,71,true,NULL
2012-09-28,11.4,35.5,67.25,true,NULL
2012-09-29,0,37.1,63,true,NULL
2012-09-30,0,38.6,57.25,true,NULL
2012-10-01,0,37.3,67,true,NULL
2012-10-02,0,38.3,67.5,true,NULL
2012-10-03,0,37.6,57.5,true,NULL
2012-10-04,44.1,36.1,67.5,true,NULL
2012-10-05,0,38,57.5,false,NULL
2012-10-06,0,37.8,59.75,true,NULL
2012-10-07,0,38.4,58.5,false,NULL
2012-10-08,0,35.8,64.5,true,NULL
2012-10-09,0,31.2,92.25,true,NULL
2012-10-10,0,29.6,91.5,false,NULL
2012-10-11,40,35.1,71.5,false,NULL
2012-10-12,12.6,36.4,71.75,false,NULL
2012-10-13,0,32.7,78.75,true,NULL
2012-10-14,0.2,32.7,82,true,NULL
2012-10-15,23.8,34,74.5,false,NULL
2012-10-16,0,31.6,79.5,false,NULL
2012-10-17,0,35,74.25,false,NULL
2012-10-18,0,36.4,68.25,true,NULL
2012-10-19,0,35.6,72.75,true,NULL
2012-10-20,0,36.7,63.5,true,NULL
2012-10-21,0.1,34.9,67.75,true,NULL
2012-10-22,0,36,65.25,false,NULL
2012-10-23,0,36.9,62.5,true,NULL
2012-10-25,0,36.9,62.5,false,NULL
2012-10-26,0,32.9,78.25,true,NULL
2012-10-27,0,35.2,73.75,false,NULL
2012-10-28,0,36,64.5,false,NULL
2012-10-29,0,34.3,67.75,true,NULL
2012-10-30,0,36.7,61.75,true,NULL
2012-10-31,0,35.5,68.25,true,NULL
2012-11-01,0,37,75.25,true,NULL
2012-11-02,0,35.5,69.5,false,NULL
2012-11-03,7.1,36.5,66.75,true,NULL
2012-11-04,0,36.6,62.5,true,NULL
2012-11-05,0,36.2,65.25,true,NULL
2012-11-06,0,34.9,69.5,true,NULL
2012-11-07,8.9,36,68.75,false,NULL
2012-11-08,0,32,77.5,false,NULL
2012-11-09,0,27.9,90,false,NULL
2012-11-10,0,26.1,95.25,false,NULL
2012-11-11,34,33.1,85.25,false,NULL
2012-11-12,32.8,33.6,82.5,false,NULL
2012-11-13,0,32.2,82,false,NULL
2012-11-14,0,32.3,80.25,false,NULL
2012-11-15,0,33.6,79.75,false,NULL
2012-11-16,0,35,77.25,true,NULL
2012-11-17,0,31.3,86.75,true,NULL
2012-11-18,27.1,34.3,83,false,NULL
2012-11-19,0,32.4,80.75,false,NULL
2012-11-20,0,33.4,75.75,false,NULL
2012-11-21,0,35.2,73.25,false,NULL
2012-11-22,0,33.4,75.25,false,NULL
2012-11-23,0,34.6,83,false,NULL
2012-11-24,0,32.4,82.5,false,NULL
2012-11-25,18.1,34.4,81.25,false,NULL
2012-11-26,32.8,30.7,88.25,false,NULL
2012-11-27,14.2,34.3,77,false,NULL
2012-11-28,0,31.2,85.25,false,NULL
2012-11-29,0,29.4,91.5,false,NULL
2012-11-30,19.1,33.2,84.25,false,NULL
2012-12-01,2.5,32.7,78.25,false,NULL
2012-12-02,11,27.8,89,false,NULL
2012-12-03,0,33.9,82.25,false,NULL
2012-12-04,5.4,31.4,87.75,false,NULL
2012-12-05,26.4,33.9,87.25,false,NULL
2012-12-06,0,32.6,82.25,false,NULL
2012-12-07,0,31,85.75,false,NULL
2012-12-08,139,33.9,77.75,false,NULL
2012-12-09,0,34.3,75.75,false,NULL
2012-12-10,0,35.4,74.5,false,NULL
2012-12-11,0,33,81.5,false,NULL
2012-12-12,15.4,34.2,72.25,false,NULL
2012-12-13,0,35.4,74.75,false,NULL
2012-12-14,0,35.5,80.75,false,NULL
2012-12-15,0,32.7,82.5,false,NULL
2012-12-16,2.6,33.3,79.5,false,NULL
