"Estacao","Data","Hora","Precipitacao","TempMaxima","TempMinima","Insolacao","Evaporacao Piche","Temp Comp Media","Umidade Relativa Media","Velocidade do Vento Media"
82564,01/06/1961,0000,NULL,32.9,NULL,NULL,NULL,26.02,73.75,1.333333
82564,01/06/1961,1200,NULL,NULL,19.9,NULL,NULL,NULL,NULL,NULL
82564,02/06/1961,0000,NULL,33,NULL,NULL,NULL,25.04,78.25,1.333333
82564,02/06/1961,1200,0,NULL,18.4,NULL,NULL,NULL,NULL,NULL
82564,03/06/1961,0000,NULL,33.4,NULL,NULL,NULL,25.96,75.25,1.333333
82564,03/06/1961,1200,0,NULL,19.5,NULL,NULL,NULL,NULL,NULL
82564,04/06/1961,0000,NULL,33.5,NULL,NULL,NULL,26.3,76,2
82564,04/06/1961,1200,0,NULL,20.1,NULL,NULL,NULL,NULL,NULL
82564,05/06/1961,0000,NULL,33.5,NULL,NULL,NULL,26.38,73,1.666667
82564,05/06/1961,1200,0,NULL,20.9,NULL,NULL,NULL,NULL,NULL
82564,06/06/1961,0000,NULL,34,NULL,NULL,NULL,25.4,78.75,1.666667
82564,06/06/1961,1200,0,NULL,19.3,NULL,NULL,NULL,NULL,NULL
82564,07/06/1961,0000,NULL,33.2,NULL,NULL,NULL,25.4,74.5,1.333333
82564,07/06/1961,1200,0,NULL,18.2,NULL,NULL,NULL,NULL,NULL
82564,08/06/1961,0000,NULL,33.6,NULL,NULL,NULL,24.96,77.5,1.333333
82564,08/06/1961,1200,0,NULL,17.8,NULL,NULL,NULL,NULL,NULL
82564,09/06/1961,0000,NULL,34,NULL,NULL,NULL,25.7,79.25,1
82564,09/06/1961,1200,0,NULL,18.7,NULL,NULL,NULL,NULL,NULL
82564,10/06/1961,0000,NULL,32.8,NULL,NULL,NULL,25.82,79.25,1
82564,10/06/1961,1200,0,NULL,19.5,NULL,NULL,NULL,NULL,NULL
82564,11/06/1961,0000,NULL,32.8,NULL,NULL,NULL,25.7,81.5,0.666667
82564,11/06/1961,1200,0,NULL,19.9,NULL,NULL,NULL,NULL,NULL
82564,12/06/1961,0000,NULL,33.6,NULL,NULL,NULL,26.64,74.75,1.666667
82564,12/06/1961,1200,0,NULL,19.7,NULL,NULL,NULL,NULL,NULL
82564,13/06/1961,0000,NULL,34.2,NULL,NULL,NULL,25.84,75.5,1.666667
82564,13/06/1961,1200,0,NULL,19.1,NULL,NULL,NULL,NULL,NULL
82564,14/06/1961,0000,NULL,33.2,NULL,NULL,NULL,25.3,82.25,0.666667
82564,14/06/1961,1200,0,NULL,19,NULL,NULL,NULL,NULL,NULL
82564,15/06/1961,0000,NULL,32,NULL,NULL,NULL,24.88,81.75,1
82564,15/06/1961,1200,3.3,NULL,20.9,NULL,NULL,NULL,NULL,NULL
82564,16/06/1961,0000,NULL,31.6,NULL,NULL,NULL,25.42,90.75,0.333333
82564,16/06/1961,1200,0,NULL,20.8,NULL,NULL,NULL,NULL,NULL
82564,17/06/1961,0000,NULL,31.2,NULL,NULL,NULL,25.28,83.75,0.666667
82564,17/06/1961,1200,8,NULL,20.4,NULL,NULL,NULL,NULL,NULL
82564,18/06/1961,0000,NULL,32,NULL,NULL,NULL,24.7,77.25,1.333333
82564,18/06/1961,1200,2.4,NULL,20.1,NULL,NULL,NULL,NULL,NULL
82564,19/06/1961,0000,NULL,32.3,NULL,NULL,NULL,23.86,75.25,1.666667
82564,19/06/1961,1200,0,NULL,17.6,NULL,NULL,NULL,NULL,NULL
82564,20/06/1961,0000,NULL,32.2,NULL,NULL,NULL,24.06,74.5,1.666667
82564,20/06/1961,1200,0,NULL,16.6,NULL,NULL,NULL,NULL,NULL
82564,21/06/1961,0000,NULL,32.8,NULL,NULL,NULL,24.46,80.25,1.333333
82564,21/06/1961,1200,0,NULL,18,NULL,NULL,NULL,NULL,NULL
82564,22/06/1961,0000,NULL,33.4,NULL,NULL,NULL,24.8,75.5,1.333333
82564,22/06/1961,1200,0,NULL,18.2,NULL,NULL,NULL,NULL,NULL
82564,23/06/1961,0000,NULL,33.3,NULL,NULL,NULL,25.62,77.25,1
82564,23/06/1961,1200,0,NULL,18.2,NULL,NULL,NULL,NULL,NULL
82564,24/06/1961,0000,NULL,32.5,NULL,NULL,NULL,25.38,71.75,1.333333
82564,24/06/1961,1200,0,NULL,19.2,NULL,NULL,NULL,NULL,NULL
82564,25/06/1961,0000,NULL,31.7,NULL,NULL,NULL,23.7,75,1
82564,25/06/1961,1200,0,NULL,18,NULL,NULL,NULL,NULL,NULL
82564,26/06/1961,0000,NULL,32.4,NULL,NULL,NULL,24.8,76.5,1.333333
82564,26/06/1961,1200,0,NULL,15.9,NULL,NULL,NULL,NULL,NULL
82564,27/06/1961,0000,NULL,33.3,NULL,NULL,NULL,25.82,75,1.666667
82564,27/06/1961,1200,0,NULL,21.2,NULL,NULL,NULL,NULL,NULL
82564,28/06/1961,0000,NULL,33.2,NULL,NULL,NULL,24.5,76.75,1.333333
82564,28/06/1961,1200,0,NULL,18,NULL,NULL,NULL,NULL,NULL
82564,29/06/1961,0000,NULL,32.6,NULL,NULL,NULL,24.44,74.25,1
82564,29/06/1961,1200,0,NULL,16.4,NULL,NULL,NULL,NULL,NULL
82564,30/06/1961,0000,NULL,32.2,NULL,NULL,NULL,25.64,76.25,1
82564,30/06/1961,1200,0,NULL,20,NULL,NULL,NULL,NULL,NULL
82564,01/07/1961,0000,NULL,33.8,NULL,NULL,NULL,25.44,72.25,1
82564,01/07/1961,1200,0,NULL,17.7,NULL,NULL,NULL,NULL,NULL
82564,02/07/1961,0000,NULL,33.6,NULL,NULL,NULL,25.12,73.25,1
82564,02/07/1961,1200,0,NULL,17.8,NULL,NULL,NULL,NULL,NULL
82564,03/07/1961,0000,NULL,33.4,NULL,NULL,NULL,24.52,72.25,1.333333
82564,03/07/1961,1200,0,NULL,16.8,NULL,NULL,NULL,NULL,NULL
82564,04/07/1961,0000,NULL,33.4,NULL,NULL,NULL,24.02,73.5,2.333333
82564,04/07/1961,1200,0,NULL,16.1,NULL,NULL,NULL,NULL,NULL
82564,05/07/1961,0000,NULL,33.9,NULL,NULL,NULL,25.36,72.5,1.666667
82564,05/07/1961,1200,0,NULL,18,NULL,NULL,NULL,NULL,NULL
82564,06/07/1961,0000,NULL,34.3,NULL,NULL,NULL,25.46,71,1
82564,06/07/1961,1200,0,NULL,17.4,NULL,NULL,NULL,NULL,NULL
82564,07/07/1961,0000,NULL,34.6,NULL,NULL,NULL,25.52,68.75,1
82564,07/07/1961,1200,0,NULL,18.9,NULL,NULL,NULL,NULL,NULL
82564,08/07/1961,0000,NULL,34.4,NULL,NULL,NULL,24.58,74.75,1
82564,08/07/1961,1200,0,NULL,17.2,NULL,NULL,NULL,NULL,NULL
82564,09/07/1961,0000,NULL,34.8,NULL,NULL,NULL,25.76,72.75,1
82564,09/07/1961,1200,0,NULL,16.9,NULL,NULL,NULL,NULL,NULL
82564,10/07/1961,0000,NULL,35.3,NULL,NULL,NULL,26.18,75.75,1
82564,10/07/1961,1200,0,NULL,19,NULL,NULL,NULL,NULL,NULL
82564,11/07/1961,0000,NULL,33,NULL,NULL,NULL,24.54,81.25,2
82564,11/07/1961,1200,0,NULL,18.1,NULL,NULL,NULL,NULL,NULL
82564,12/07/1961,0000,NULL,33.6,NULL,NULL,NULL,24.98,74.75,1.666667
82564,12/07/1961,1200,0,NULL,17.2,NULL,NULL,NULL,NULL,NULL
82564,13/07/1961,0000,NULL,33.1,NULL,NULL,NULL,24.32,73.25,1.666667
82564,13/07/1961,1200,0,NULL,15.9,NULL,NULL,NULL,NULL,NULL
82564,14/07/1961,0000,NULL,33,NULL,NULL,NULL,23.8,73.25,1.333333
82564,14/07/1961,1200,0,NULL,15.3,NULL,NULL,NULL,NULL,NULL
82564,15/07/1961,0000,NULL,33.2,NULL,NULL,NULL,24.84,77.5,1.666667
82564,15/07/1961,1200,0,NULL,18.9,NULL,NULL,NULL,NULL,NULL
82564,16/07/1961,0000,NULL,34.4,NULL,NULL,NULL,25.14,67,1.666667
82564,16/07/1961,1200,0,NULL,17.4,NULL,NULL,NULL,NULL,NULL
82564,17/07/1961,0000,NULL,33.8,NULL,NULL,NULL,24.62,78,1.333333
82564,17/07/1961,1200,0,NULL,19.3,NULL,NULL,NULL,NULL,NULL
82564,18/07/1961,0000,NULL,34.7,NULL,NULL,NULL,25.2,76.25,1
82564,18/07/1961,1200,0,NULL,16.2,NULL,NULL,NULL,NULL,NULL
82564,19/07/1961,0000,NULL,34.4,NULL,NULL,NULL,25.88,75.75,2.666667
82564,19/07/1961,1200,0,NULL,18.4,NULL,NULL,NULL,NULL,NULL
82564,20/07/1961,0000,NULL,34,NULL,NULL,NULL,26.64,75.5,1.666667
82564,20/07/1961,1200,2,NULL,22.4,NULL,NULL,NULL,NULL,NULL
82564,21/07/1961,0000,NULL,34.5,NULL,NULL,NULL,24.32,77.75,1.666667
82564,21/07/1961,1200,0,NULL,16.7,NULL,NULL,NULL,NULL,NULL
82564,22/07/1961,0000,NULL,34.6,NULL,NULL,NULL,24.34,71.5,0.666667
82564,22/07/1961,1200,0,NULL,14.7,NULL,NULL,NULL,NULL,NULL
82564,23/07/1961,0000,NULL,34.2,NULL,NULL,NULL,25.28,71.5,1
82564,23/07/1961,1200,0,NULL,16.9,NULL,NULL,NULL,NULL,NULL
82564,24/07/1961,0000,NULL,34.3,NULL,NULL,NULL,25.5,69.25,0.666667
82564,24/07/1961,1200,0,NULL,19.2,NULL,NULL,NULL,NULL,NULL
82564,25/07/1961,0000,NULL,34.2,NULL,NULL,NULL,25.08,71.75,1
82564,25/07/1961,1200,0,NULL,16.3,NULL,NULL,NULL,NULL,NULL
82564,26/07/1961,0000,NULL,34.5,NULL,NULL,NULL,25.64,74,1.333333
82564,26/07/1961,1200,0,NULL,17.8,NULL,NULL,NULL,NULL,NULL
82564,27/07/1961,0000,NULL,34.4,NULL,NULL,NULL,25.9,75.25,1
82564,27/07/1961,1200,0,NULL,18.1,NULL,NULL,NULL,NULL,NULL
82564,28/07/1961,0000,NULL,32.8,NULL,NULL,NULL,26.1,79.25,1.333333
82564,28/07/1961,1200,0,NULL,19.4,NULL,NULL,NULL,NULL,NULL
82564,29/07/1961,0000,NULL,34.6,NULL,NULL,NULL,25.72,68.75,0.666667
82564,29/07/1961,1200,0,NULL,19.7,NULL,NULL,NULL,NULL,NULL
82564,30/07/1961,0000,NULL,35,NULL,NULL,NULL,26.06,73.25,1
82564,30/07/1961,1200,0,NULL,18.2,NULL,NULL,NULL,NULL,NULL
82564,31/07/1961,0000,NULL,34.6,NULL,NULL,NULL,25.54,72,0.666667
82564,31/07/1961,1200,0,NULL,18.5,NULL,NULL,NULL,NULL,NULL
82564,01/08/1961,0000,NULL,35.3,NULL,NULL,NULL,25.24,75.75,1
82564,01/08/1961,1200,0,NULL,17.3,NULL,NULL,NULL,NULL,NULL
82564,02/08/1961,0000,NULL,35.5,NULL,NULL,NULL,25.7,68.5,1
82564,02/08/1961,1200,0,NULL,17.1,NULL,NULL,NULL,NULL,NULL
82564,03/08/1961,0000,NULL,34.8,NULL,NULL,NULL,25.98,72.75,1.333333
82564,03/08/1961,1200,0,NULL,17.9,NULL,NULL,NULL,NULL,NULL
82564,04/08/1961,0000,NULL,34.3,NULL,NULL,NULL,25.52,66.5,1.333333
82564,04/08/1961,1200,0,NULL,16.8,NULL,NULL,NULL,NULL,NULL
82564,05/08/1961,0000,NULL,34.4,NULL,NULL,NULL,24.92,63.5,1.666667
82564,05/08/1961,1200,0,NULL,16.8,NULL,NULL,NULL,NULL,NULL
82564,06/08/1961,0000,NULL,35.4,NULL,NULL,NULL,25.04,63,1
82564,06/08/1961,1200,0,NULL,16,NULL,NULL,NULL,NULL,NULL
82564,07/08/1961,0000,NULL,35.3,NULL,NULL,NULL,25.22,60.5,1
82564,07/08/1961,1200,0,NULL,16.6,NULL,NULL,NULL,NULL,NULL
82564,08/08/1961,0000,NULL,35.4,NULL,NULL,NULL,26.32,61.75,0.666667
82564,08/08/1961,1200,0,NULL,18.4,NULL,NULL,NULL,NULL,NULL
82564,09/08/1961,0000,NULL,35.4,NULL,NULL,NULL,26.06,59.5,1.333333
82564,09/08/1961,1200,0,NULL,17.4,NULL,NULL,NULL,NULL,NULL
82564,10/08/1961,0000,NULL,35,NULL,NULL,NULL,26.14,60.75,1
82564,10/08/1961,1200,0,NULL,16.1,NULL,NULL,NULL,NULL,NULL
82564,11/08/1961,0000,NULL,35.5,NULL,NULL,NULL,26.54,58,1.666667
82564,11/08/1961,1200,0,NULL,18.7,NULL,NULL,NULL,NULL,NULL
82564,12/08/1961,0000,NULL,35,NULL,NULL,NULL,25.62,63,1
82564,12/08/1961,1200,0,NULL,17.9,NULL,NULL,NULL,NULL,NULL
82564,13/08/1961,0000,NULL,34.4,NULL,NULL,NULL,25.92,57.25,1
82564,13/08/1961,1200,0,NULL,16.4,NULL,NULL,NULL,NULL,NULL
82564,14/08/1961,0000,NULL,35.2,NULL,NULL,NULL,25.5,63,1
82564,14/08/1961,1200,0,NULL,16.7,NULL,NULL,NULL,NULL,NULL
82564,15/08/1961,0000,NULL,35.5,NULL,NULL,NULL,25.28,56.75,1.666667
82564,15/08/1961,1200,0,NULL,16.2,NULL,NULL,NULL,NULL,NULL
82564,16/08/1961,0000,NULL,34.8,NULL,NULL,NULL,25.94,64.25,0.666667
82564,16/08/1961,1200,0,NULL,17,NULL,NULL,NULL,NULL,NULL
