"Data","Precipitacao","TempMaxima","Umidade Relativa Media"
1961-06-02,0.0,33.4,75.25
1961-06-03,0.0,33.5,76.0
1961-06-04,0.0,33.5,73.0
1961-06-05,0.0,34.0,78.75
1961-06-06,0.0,33.2,74.5
1961-06-07,0.0,33.6,77.5
1961-06-08,0.0,34.0,79.25
1961-06-09,0.0,32.8,79.25
1961-06-10,0.0,32.8,81.5
1961-06-11,0.0,33.6,74.75
1961-06-12,0.0,34.2,75.5
1961-06-13,0.0,33.2,82.25
1961-06-14,0.0,32.0,81.75
1961-06-15,3.3,31.6,90.75
1961-06-16,0.0,31.2,83.75
1961-06-17,8.0,32.0,77.25
1961-06-18,2.4,32.3,75.25
1961-06-19,0.0,32.2,74.5
1961-06-20,0.0,32.8,80.25
1961-06-21,0.0,33.4,75.5
1961-06-22,0.0,33.3,77.25
1961-06-23,0.0,32.5,71.75
1961-06-24,0.0,31.7,75.0
1961-06-25,0.0,32.4,76.5
1961-06-26,0.0,33.3,75.0
1961-06-27,0.0,33.2,76.75
1961-06-28,0.0,32.6,74.25
1961-06-29,0.0,32.2,76.25
1961-06-30,0.0,33.8,72.25
1961-07-01,0.0,33.6,73.25
1961-07-02,0.0,33.4,72.25
1961-07-03,0.0,33.4,73.5
1961-07-04,0.0,33.9,72.5
1961-07-05,0.0,34.3,71.0
1961-07-06,0.0,34.6,68.75
1961-07-07,0.0,34.4,74.75
1961-07-08,0.0,34.8,72.75
1961-07-09,0.0,35.3,75.75
1961-07-10,0.0,33.0,81.25
1961-07-11,0.0,33.6,74.75
1961-07-12,0.0,33.1,73.25
1961-07-13,0.0,33.0,73.25
1961-07-14,0.0,33.2,77.5
1961-07-15,0.0,34.4,67.0
1961-07-16,0.0,33.8,78.0
1961-07-17,0.0,34.7,76.25
1961-07-18,0.0,34.4,75.75
1961-07-19,0.0,34.0,75.5
1961-07-20,2.0,34.5,77.75
1961-07-21,0.0,34.6,71.5
1961-07-22,0.0,34.2,71.5
1961-07-23,0.0,34.3,69.25
1961-07-24,0.0,34.2,71.75
1961-07-25,0.0,34.5,74.0
1961-07-26,0.0,34.4,75.25
1961-07-27,0.0,32.8,79.25
1961-07-28,0.0,34.6,68.75
1961-07-29,0.0,35.0,73.25
1961-07-30,0.0,34.6,72.0
1961-07-31,0.0,35.3,75.75
1961-08-01,0.0,35.5,68.5
1961-08-02,0.0,34.8,72.75
1961-08-03,0.0,34.3,66.5
1961-08-04,0.0,34.4,63.5
1961-08-05,0.0,35.4,63.0
1961-08-06,0.0,35.3,60.5
1961-08-07,0.0,35.4,61.75
1961-08-08,0.0,35.4,59.5
1961-08-09,0.0,35.0,60.75
1961-08-10,0.0,35.5,58.0
1961-08-11,0.0,35.0,63.0
1961-08-12,0.0,34.4,57.25
1961-08-13,0.0,35.2,63.0
1961-08-14,0.0,35.5,56.75
1961-08-15,0.0,34.8,64.25
1961-08-16,0.0,36.2,62.75
1961-08-17,0.0,34.9,61.75
1961-08-18,0.0,34.8,65.75
1961-08-19,0.0,34.2,67.75
1961-08-20,0.0,35.0,63.75
1961-08-21,0.0,37.7,63.25
1961-08-22,0.0,33.2,73.25
1961-08-23,0.0,34.8,65.75
1961-08-24,0.0,34.4,66.25
1961-08-25,0.0,35.1,68.25
1961-08-26,0.0,35.4,66.0
1961-08-27,0.0,36.0,65.5
1961-08-28,0.0,36.0,60.75
1961-08-29,0.0,35.1,63.75
1961-08-30,0.0,34.0,77.5
1961-08-31,0.0,35.0,63.25
1961-09-01,0.0,36.1,62.75
1961-09-02,0.0,35.5,67.0
1961-09-03,0.0,36.3,63.5
1961-09-04,0.0,34.0,62.5
1961-09-05,0.0,35.0,66.0
1961-09-06,0.0,34.9,66.25
1961-09-07,0.0,35.5,62.75
1961-09-08,0.0,35.6,64.5
1961-09-09,0.0,35.4,63.25
1961-09-10,0.0,34.5,62.75
1961-09-11,0.0,33.2,71.75
1961-09-12,0.0,37.4,61.5
1961-09-13,0.0,30.6,77.5
1961-09-14,0.0,33.6,70.0
1961-09-15,0.0,33.8,68.25
1961-09-16,0.0,32.6,66.75
1961-09-17,0.0,31.7,72.75
1961-09-18,0.0,33.8,69.75
1961-09-19,0.0,35.6,62.25
1961-09-20,0.0,35.4,65.0
1961-09-21,0.0,36.2,69.0
